dg_id,dg_name,dg_atc_codes,dg_atc_levels
DB01056,Tocainide,['C01BB03'],"[['C01BB', 'C01B', 'C01', 'C']]"
DB01057,Echothiophate,['S01EB03'],"[['S01EB', 'S01E', 'S01', 'S']]"
DB01059,Norfloxacin,"['J01RA14', 'J01RA13', 'S01AE02', 'J01MA06']","[['J01RA', 'J01R', 'J01', 'J'], ['J01RA', 'J01R', 'J01', 'J'], ['S01AE', 'S01A', 'S01', 'S'], ['J01MA', 'J01M', 'J01', 'J']]"
DB01062,Oxybutynin,['G04BD04'],"[['G04BD', 'G04B', 'G04', 'G']]"
DB01063,Acetophenazine,['N05AB07'],"[['N05AB', 'N05A', 'N05', 'N']]"
DB01064,Isoprenaline,"['C01CA02', 'R03AK02', 'R03AB02', 'R03CB01', 'R03CB51']","[['C01CA', 'C01C', 'C01', 'C'], ['R03AK', 'R03A', 'R03', 'R'], ['R03AB', 'R03A', 'R03', 'R'], ['R03CB', 'R03C', 'R03', 'R'], ['R03CB', 'R03C', 'R03', 'R']]"
DB01065,Melatonin,['N05CH01'],"[['N05CH', 'N05C', 'N05', 'N']]"
DB01067,Glipizide,['A10BB07'],"[['A10BB', 'A10B', 'A10', 'A']]"
DB01068,Clonazepam,['N03AE01'],"[['N03AE', 'N03A', 'N03', 'N']]"
DB01069,Promethazine,"['R06AD52', 'D04AA10', 'V03AB05', 'R06AD02']","[['R06AD', 'R06A', 'R06', 'R'], ['D04AA', 'D04A', 'D04', 'D'], ['V03AB', 'V03A', 'V03', 'V'], ['R06AD', 'R06A', 'R06', 'R']]"
DB01070,Dihydrotachysterol,['A11CC02'],"[['A11CC', 'A11C', 'A11', 'A']]"
DB01071,Mequitazine,['R06AD07'],"[['R06AD', 'R06A', 'R06', 'R']]"
DB01073,Fludarabine,['L01BB05'],"[['L01BB', 'L01B', 'L01', 'L']]"
DB01074,Perhexiline,['C08EX02'],"[['C08EX', 'C08E', 'C08', 'C']]"
DB01075,Diphenhydramine,"['D04AA32', 'R06AA02', 'D04AA33', 'R06AA52']","[['D04AA', 'D04A', 'D04', 'D'], ['R06AA', 'R06A', 'R06', 'R'], ['D04AA', 'D04A', 'D04', 'D'], ['R06AA', 'R06A', 'R06', 'R']]"
DB01076,Atorvastatin,"['C10BA05', 'C10BX11', 'C10BX12', 'C10BX19', 'C10BX18', 'C10AA05', 'C10BX15', 'C10BX03', 'C10BX08', 'C10BX06']","[['C10BA', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C10AA', 'C10A', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C']]"
DB01077,Etidronic acid,"['M05BB01', 'M05BA01']","[['M05BB', 'M05B', 'M05', 'M'], ['M05BA', 'M05B', 'M05', 'M']]"
DB01078,Deslanoside,['C01AA07'],"[['C01AA', 'C01A', 'C01', 'C']]"
DB01079,Tegaserod,['A06AX06'],"[['A06AX', 'A06A', 'A06', 'A']]"
DB01080,Vigabatrin,['N03AG04'],"[['N03AG', 'N03A', 'N03', 'N']]"
DB01081,Diphenoxylate,['A07DA01'],"[['A07DA', 'A07D', 'A07', 'A']]"
DB01082,Streptomycin,"['J04AM01', 'J01GA01', 'A07AA54', 'A07AA04']","[['J04AM', 'J04A', 'J04', 'J'], ['J01GA', 'J01G', 'J01', 'J'], ['A07AA', 'A07A', 'A07', 'A'], ['A07AA', 'A07A', 'A07', 'A']]"
DB01083,Orlistat,['A08AB01'],"[['A08AB', 'A08A', 'A08', 'A']]"
DB01084,Emedastine,['S01GX06'],"[['S01GX', 'S01G', 'S01', 'S']]"
DB01085,Pilocarpine,"['N07AX01', 'S01EB01', 'S01EB51']","[['N07AX', 'N07A', 'N07', 'N'], ['S01EB', 'S01E', 'S01', 'S'], ['S01EB', 'S01E', 'S01', 'S']]"
DB01086,Benzocaine,"['C05AD03', 'R02AD01', 'D04AB04', 'N01BA05']","[['C05AD', 'C05A', 'C05', 'C'], ['R02AD', 'R02A', 'R02', 'R'], ['D04AB', 'D04A', 'D04', 'D'], ['N01BA', 'N01B', 'N01', 'N']]"
DB01087,Primaquine,['P01BA03'],"[['P01BA', 'P01B', 'P01', 'P']]"
DB01088,Iloprost,['B01AC11'],"[['B01AC', 'B01A', 'B01', 'B']]"
DB01089,Deserpidine,"['C02LA03', 'C02AA05']","[['C02LA', 'C02L', 'C02', 'C'], ['C02AA', 'C02A', 'C02', 'C']]"
DB01091,Butenafine,['D01AE23'],"[['D01AE', 'D01A', 'D01', 'D']]"
DB01092,Ouabain,['C01AC01'],"[['C01AC', 'C01A', 'C01', 'C']]"
DB01093,Dimethyl sulfoxide,"['M02AX03', 'G04BX13']","[['M02AX', 'M02A', 'M02', 'M'], ['G04BX', 'G04B', 'G04', 'G']]"
DB01095,Fluvastatin,['C10AA04'],"[['C10AA', 'C10A', 'C10', 'C']]"
DB01096,Oxamniquine,['P02BA02'],"[['P02BA', 'P02B', 'P02', 'P']]"
DB01097,Leflunomide,['L04AA13'],"[['L04AA', 'L04A', 'L04', 'L']]"
DB01098,Rosuvastatin,"['C10BX10', 'C10BX05', 'C10BX07', 'C10AA07', 'A10BH52', 'G01AE10', 'C10BX13', 'C10BX09', 'C10BA09', 'C10BX16', 'C10BX17', 'C10BX14', 'C10BA06']","[['C10BX', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C10AA', 'C10A', 'C10', 'C'], ['A10BH', 'A10B', 'A10', 'A'], ['G01AE', 'G01A', 'G01', 'G'], ['C10BX', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C10BA', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C10BA', 'C10B', 'C10', 'C']]"
DB01099,Flucytosine,"['J02AX01', 'D01AE21']","[['J02AX', 'J02A', 'J02', 'J'], ['D01AE', 'D01A', 'D01', 'D']]"
DB01100,Pimozide,['N05AG02'],"[['N05AG', 'N05A', 'N05', 'N']]"
DB01101,Capecitabine,['L01BC06'],"[['L01BC', 'L01B', 'L01', 'L']]"
DB01102,Arbutamine,['C01CA22'],"[['C01CA', 'C01C', 'C01', 'C']]"
DB01103,Quinacrine,['P01AX05'],"[['P01AX', 'P01A', 'P01', 'P']]"
DB01104,Sertraline,['N06AB06'],"[['N06AB', 'N06A', 'N06', 'N']]"
DB01105,Sibutramine,['A08AA10'],"[['A08AA', 'A08A', 'A08', 'A']]"
DB01106,Levocabastine,"['R01AC02', 'S01GX02']","[['R01AC', 'R01A', 'R01', 'R'], ['S01GX', 'S01G', 'S01', 'S']]"
DB01107,Methyprylon,['N05CE02'],"[['N05CE', 'N05C', 'N05', 'N']]"
DB01108,Trilostane,['H02CA01'],"[['H02CA', 'H02C', 'H02', 'H']]"
DB01109,Heparin,"['B01AB51', 'C05BA03', 'S01XA14', 'C05BA53', 'B01AB01']","[['B01AB', 'B01A', 'B01', 'B'], ['C05BA', 'C05B', 'C05', 'C'], ['S01XA', 'S01X', 'S01', 'S'], ['C05BA', 'C05B', 'C05', 'C'], ['B01AB', 'B01A', 'B01', 'B']]"
DB01110,Miconazole,"['A07AC01', 'J02AB01', 'D01AC52', 'G01AF20', 'A01AB09', 'D01AC02', 'S02AA13', 'G01AF04']","[['A07AC', 'A07A', 'A07', 'A'], ['J02AB', 'J02A', 'J02', 'J'], ['D01AC', 'D01A', 'D01', 'D'], ['G01AF', 'G01A', 'G01', 'G'], ['A01AB', 'A01A', 'A01', 'A'], ['D01AC', 'D01A', 'D01', 'D'], ['S02AA', 'S02A', 'S02', 'S'], ['G01AF', 'G01A', 'G01', 'G']]"
DB01113,Papaverine,"['G04BE02', 'A03AD01', 'G04BE52']","[['G04BE', 'G04B', 'G04', 'G'], ['A03AD', 'A03A', 'A03', 'A'], ['G04BE', 'G04B', 'G04', 'G']]"
DB01114,Chlorpheniramine,"['R06AB54', 'R06AB04']","[['R06AB', 'R06A', 'R06', 'R'], ['R06AB', 'R06A', 'R06', 'R']]"
DB01115,Nifedipine,"['C08CA55', 'C08GA01', 'C08CA05', 'C07FB03']","[['C08CA', 'C08C', 'C08', 'C'], ['C08GA', 'C08G', 'C08', 'C'], ['C08CA', 'C08C', 'C08', 'C'], ['C07FB', 'C07F', 'C07', 'C']]"
DB01116,Trimethaphan,['C02BA01'],"[['C02BA', 'C02B', 'C02', 'C']]"
DB01117,Atovaquone,"['P01AX06', 'P01BB51']","[['P01AX', 'P01A', 'P01', 'P'], ['P01BB', 'P01B', 'P01', 'P']]"
DB01118,Amiodarone,['C01BD01'],"[['C01BD', 'C01B', 'C01', 'C']]"
DB01119,Diazoxide,"['G01AE10', 'C02DA01', 'V03AH01']","[['G01AE', 'G01A', 'G01', 'G'], ['C02DA', 'C02D', 'C02', 'C'], ['V03AH', 'V03A', 'V03', 'V']]"
DB01120,Gliclazide,"['A10BB09', 'G01AE10']","[['A10BB', 'A10B', 'A10', 'A'], ['G01AE', 'G01A', 'G01', 'G']]"
DB01121,Phenacemide,['N03AX07'],"[['N03AX', 'N03A', 'N03', 'N']]"
DB01122,Ambenonium,['N07AA30'],"[['N07AA', 'N07A', 'N07', 'N']]"
DB01124,Tolbutamide,"['V04CA01', 'A10BB03', 'G01AE10']","[['V04CA', 'V04C', 'V04', 'V'], ['A10BB', 'A10B', 'A10', 'A'], ['G01AE', 'G01A', 'G01', 'G']]"
DB01126,Dutasteride,"['G04CB02', 'G04CA52']","[['G04CB', 'G04C', 'G04', 'G'], ['G04CA', 'G04C', 'G04', 'G']]"
DB01127,Econazole,"['G01AF05', 'D01AC03', 'G01AF20', 'G01AF55']","[['G01AF', 'G01A', 'G01', 'G'], ['D01AC', 'D01A', 'D01', 'D'], ['G01AF', 'G01A', 'G01', 'G'], ['G01AF', 'G01A', 'G01', 'G']]"
DB01128,Bicalutamide,"['L02BB03', 'L02AE51']","[['L02BB', 'L02B', 'L02', 'L'], ['L02AE', 'L02A', 'L02', 'L']]"
DB01129,Rabeprazole,"['A02BD12', 'A02BD13', 'A02BC54', 'M01AA05', 'A02BC04', 'M02AA03']","[['A02BD', 'A02B', 'A02', 'A'], ['A02BD', 'A02B', 'A02', 'A'], ['A02BC', 'A02B', 'A02', 'A'], ['M01AA', 'M01A', 'M01', 'M'], ['A02BC', 'A02B', 'A02', 'A'], ['M02AA', 'M02A', 'M02', 'M']]"
DB01130,Prednicarbate,['D07AC18'],"[['D07AC', 'D07A', 'D07', 'D']]"
DB01131,Proguanil,"['P01BB01', 'P01BB51', 'P01BB52']","[['P01BB', 'P01B', 'P01', 'P'], ['P01BB', 'P01B', 'P01', 'P'], ['P01BB', 'P01B', 'P01', 'P']]"
DB01132,Pioglitazone,"['A10BD09', 'A10BG03', 'A10BD05', 'A10BD06', 'A10BD12']","[['A10BD', 'A10B', 'A10', 'A'], ['A10BG', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A']]"
DB01133,Tiludronic acid,['M05BA05'],"[['M05BA', 'M05B', 'M05', 'M']]"
DB01135,Doxacurium,['M03AC07'],"[['M03AC', 'M03A', 'M03', 'M']]"
DB01136,Carvedilol,"['C07AG02', 'C07FX06']","[['C07AG', 'C07A', 'C07', 'C'], ['C07FX', 'C07F', 'C07', 'C']]"
DB01138,Sulfinpyrazone,['M04AB02'],"[['M04AB', 'M04A', 'M04', 'M']]"
DB01142,Doxepin,"['N06AA12', 'D04AX01']","[['N06AA', 'N06A', 'N06', 'N'], ['D04AX', 'D04A', 'D04', 'D']]"
DB01143,Amifostine,['V03AF05'],"[['V03AF', 'V03A', 'V03', 'V']]"
DB01144,Diclofenamide,"['G01AE10', 'S01EC02']","[['G01AE', 'G01A', 'G01', 'G'], ['S01EC', 'S01E', 'S01', 'S']]"
DB01146,Diphenylpyraline,"['R06AA57', 'R06AA07']","[['R06AA', 'R06A', 'R06', 'R'], ['R06AA', 'R06A', 'R06', 'R']]"
DB01148,Flavoxate,['G04BD02'],"[['G04BD', 'G04B', 'G04', 'G']]"
DB01149,Nefazodone,['N06AX06'],"[['N06AX', 'N06A', 'N06', 'N']]"
DB01151,Desipramine,['N06AA01'],"[['N06AA', 'N06A', 'N06', 'N']]"
DB01154,Thiamylal,['N05CB01'],"[['N05CB', 'N05C', 'N05', 'N']]"
DB01156,Bupropion,"['A08AA62', 'N06AX12']","[['A08AA', 'A08A', 'A08', 'A'], ['N06AX', 'N06A', 'N06', 'N']]"
DB01157,Trimetrexate,['P01AX07'],"[['P01AX', 'P01A', 'P01', 'P']]"
DB01158,Bretylium,['C01BD02'],"[['C01BD', 'C01B', 'C01', 'C']]"
DB01159,Halothane,['N01AB01'],"[['N01AB', 'N01A', 'N01', 'N']]"
DB01161,Chloroprocaine,['N01BA04'],"[['N01BA', 'N01B', 'N01', 'N']]"
DB01162,Terazosin,['G04CA03'],"[['G04CA', 'G04C', 'G04', 'G']]"
DB01164,Calcium chloride,"['A12AA07', 'A11GB01', 'G04BA03', 'B05XA07']","[['A12AA', 'A12A', 'A12', 'A'], ['A11GB', 'A11G', 'A11', 'A'], ['G04BA', 'G04B', 'G04', 'G'], ['B05XA', 'B05X', 'B05', 'B']]"
DB01165,Ofloxacin,"['J01MA01', 'J01RA09', 'S01AE01', 'S02AA16']","[['J01MA', 'J01M', 'J01', 'J'], ['J01RA', 'J01R', 'J01', 'J'], ['S01AE', 'S01A', 'S01', 'S'], ['S02AA', 'S02A', 'S02', 'S']]"
DB01166,Cilostazol,['B01AC23'],"[['B01AC', 'B01A', 'B01', 'B']]"
DB01168,Procarbazine,['L01XB01'],"[['L01XB', 'L01X', 'L01', 'L']]"
DB01169,Arsenic trioxide,['L01XX27'],"[['L01XX', 'L01X', 'L01', 'L']]"
DB01170,Guanethidine,"['S01EX01', 'C02CC02', 'C02LF01']","[['S01EX', 'S01E', 'S01', 'S'], ['C02CC', 'C02C', 'C02', 'C'], ['C02LF', 'C02L', 'C02', 'C']]"
DB01171,Moclobemide,['N06AG02'],"[['N06AG', 'N06A', 'N06', 'N']]"
DB01173,Orphenadrine,"['M03BC51', 'N04AB02', 'M03BC01']","[['M03BC', 'M03B', 'M03', 'M'], ['N04AB', 'N04A', 'N04', 'N'], ['M03BC', 'M03B', 'M03', 'M']]"
DB01174,Phenobarbital,"['N05CB01', 'N03AA02']","[['N05CB', 'N05C', 'N05', 'N'], ['N03AA', 'N03A', 'N03', 'N']]"
DB01175,Escitalopram,['N06AB10'],"[['N06AB', 'N06A', 'N06', 'N']]"
DB01176,Cyclizine,"['R06AE03', 'R06AE53']","[['R06AE', 'R06A', 'R06', 'R'], ['R06AE', 'R06A', 'R06', 'R']]"
DB01177,Idarubicin,['L01DB06'],"[['L01DB', 'L01D', 'L01', 'L']]"
DB01178,Chlormezanone,"['M03BB02', 'M03BB72', 'M03BB52']","[['M03BB', 'M03B', 'M03', 'M'], ['M03BB', 'M03B', 'M03', 'M'], ['M03BB', 'M03B', 'M03', 'M']]"
DB01179,Podofilox,['D06BB04'],"[['D06BB', 'D06B', 'D06', 'D']]"
DB01180,Rescinnamine,"['C02LA52', 'C02LA02', 'C02AA01']","[['C02LA', 'C02L', 'C02', 'C'], ['C02LA', 'C02L', 'C02', 'C'], ['C02AA', 'C02A', 'C02', 'C']]"
DB01181,Ifosfamide,['L01AA06'],"[['L01AA', 'L01A', 'L01', 'L']]"
DB01182,Propafenone,['C01BC03'],"[['C01BC', 'C01B', 'C01', 'C']]"
DB01183,Naloxone,"['A06AH04', 'N02AA53', 'V03AB15', 'N02AA55', 'N02AX51']","[['A06AH', 'A06A', 'A06', 'A'], ['N02AA', 'N02A', 'N02', 'N'], ['V03AB', 'V03A', 'V03', 'V'], ['N02AA', 'N02A', 'N02', 'N'], ['N02AX', 'N02A', 'N02', 'N']]"
DB01184,Domperidone,['A03FA03'],"[['A03FA', 'A03F', 'A03', 'A']]"
DB01185,Fluoxymesterone,['G03BA01'],"[['G03BA', 'G03B', 'G03', 'G']]"
DB01186,Pergolide,['N04BC02'],"[['N04BC', 'N04B', 'N04', 'N']]"
DB01188,Ciclopirox,"['D01AE14', 'G01AX12']","[['D01AE', 'D01A', 'D01', 'D'], ['G01AX', 'G01A', 'G01', 'G']]"
DB01189,Desflurane,['N01AB07'],"[['N01AB', 'N01A', 'N01', 'N']]"
DB01191,Dexfenfluramine,['A08AA04'],"[['A08AA', 'A08A', 'A08', 'A']]"
DB01192,Oxymorphone,['N02AA11'],"[['N02AA', 'N02A', 'N02', 'N']]"
DB01193,Acebutolol,"['C07AB04', 'C07BB04']","[['C07AB', 'C07A', 'C07', 'C'], ['C07BB', 'C07B', 'C07', 'C']]"
DB01194,Brinzolamide,"['S01EC54', 'S01EC04', 'G01AE10']","[['S01EC', 'S01E', 'S01', 'S'], ['S01EC', 'S01E', 'S01', 'S'], ['G01AE', 'G01A', 'G01', 'G']]"
DB01195,Flecainide,['C01BC04'],"[['C01BC', 'C01B', 'C01', 'C']]"
DB01196,Estramustine,['L01XX11'],"[['L01XX', 'L01X', 'L01', 'L']]"
DB01197,Captopril,"['C09AA01', 'C09BA01']","[['C09AA', 'C09A', 'C09', 'C'], ['C09BA', 'C09B', 'C09', 'C']]"
DB01198,Zopiclone,['N05CF01'],"[['N05CF', 'N05C', 'N05', 'N']]"
DB01199,Tubocurarine,['M03AA02'],"[['M03AA', 'M03A', 'M03', 'M']]"
DB01200,Bromocriptine,"['N04BC01', 'G02CB01']","[['N04BC', 'N04B', 'N04', 'N'], ['G02CB', 'G02C', 'G02', 'G']]"
DB01202,Levetiracetam,['N03AX14'],"[['N03AX', 'N03A', 'N03', 'N']]"
DB01203,Nadolol,"['C07BA12', 'C07AA12']","[['C07BA', 'C07B', 'C07', 'C'], ['C07AA', 'C07A', 'C07', 'C']]"
DB01204,Mitoxantrone,['L01DB07'],"[['L01DB', 'L01D', 'L01', 'L']]"
DB01205,Flumazenil,['V03AB25'],"[['V03AB', 'V03A', 'V03', 'V']]"
DB01206,Lomustine,['L01AD02'],"[['L01AD', 'L01A', 'L01', 'L']]"
DB01208,Sparfloxacin,['J01MA09'],"[['J01MA', 'J01M', 'J01', 'J']]"
DB01209,Dezocine,['N02AX03'],"[['N02AX', 'N02A', 'N02', 'N']]"
DB01210,Levobunolol,['S01ED03'],"[['S01ED', 'S01E', 'S01', 'S']]"
DB01211,Clarithromycin,"['A02BD12', 'A02BD14', 'A02BD07', 'A02BD04', 'A02BD09', 'A02BD05', 'J01FA09', 'A02BD06', 'A02BD11']","[['A02BD', 'A02B', 'A02', 'A'], ['A02BD', 'A02B', 'A02', 'A'], ['A02BD', 'A02B', 'A02', 'A'], ['A02BD', 'A02B', 'A02', 'A'], ['A02BD', 'A02B', 'A02', 'A'], ['A02BD', 'A02B', 'A02', 'A'], ['J01FA', 'J01F', 'J01', 'J'], ['A02BD', 'A02B', 'A02', 'A'], ['A02BD', 'A02B', 'A02', 'A']]"
DB01212,Ceftriaxone,"['J01DD04', 'J01DD54']","[['J01DD', 'J01D', 'J01', 'J'], ['J01DD', 'J01D', 'J01', 'J']]"
DB01213,Fomepizole,['V03AB34'],"[['V03AB', 'V03A', 'V03', 'V']]"
DB01214,Metipranolol,"['S01ED54', 'C07BA68', 'S01ED04']","[['S01ED', 'S01E', 'S01', 'S'], ['C07BA', 'C07B', 'C07', 'C'], ['S01ED', 'S01E', 'S01', 'S']]"
DB01215,Estazolam,['N05CD04'],"[['N05CD', 'N05C', 'N05', 'N']]"
DB01216,Finasteride,"['D11AX10', 'G04CA55', 'G04CA51', 'G04CB51', 'G04CB01']","[['D11AX', 'D11A', 'D11', 'D'], ['G04CA', 'G04C', 'G04', 'G'], ['G04CA', 'G04C', 'G04', 'G'], ['G04CB', 'G04C', 'G04', 'G'], ['G04CB', 'G04C', 'G04', 'G']]"
DB01217,Anastrozole,['L02BG03'],"[['L02BG', 'L02B', 'L02', 'L']]"
DB01218,Halofantrine,['P01BX01'],"[['P01BX', 'P01B', 'P01', 'P']]"
DB01219,Dantrolene,['M03CA01'],"[['M03CA', 'M03C', 'M03', 'M']]"
DB01220,Rifaximin,"['A07AA11', 'D06AX11']","[['A07AA', 'A07A', 'A07', 'A'], ['D06AX', 'D06A', 'D06', 'D']]"
DB01221,Ketamine,['N01AX03'],"[['N01AX', 'N01A', 'N01', 'N']]"
DB01222,Budesonide,"['R03AL11', 'D07AC09', 'R01AD05', 'R03AK07', 'A07EA06', 'R03BA02', 'R03AK12']","[['R03AL', 'R03A', 'R03', 'R'], ['D07AC', 'D07A', 'D07', 'D'], ['R01AD', 'R01A', 'R01', 'R'], ['R03AK', 'R03A', 'R03', 'R'], ['A07EA', 'A07E', 'A07', 'A'], ['R03BA', 'R03B', 'R03', 'R'], ['R03AK', 'R03A', 'R03', 'R']]"
DB01223,Aminophylline,"['R03DA55', 'R03DA05', 'R03DA20', 'R03DB05']","[['R03DA', 'R03D', 'R03', 'R'], ['R03DA', 'R03D', 'R03', 'R'], ['R03DA', 'R03D', 'R03', 'R'], ['R03DB', 'R03D', 'R03', 'R']]"
DB01224,Quetiapine,['N05AH04'],"[['N05AH', 'N05A', 'N05', 'N']]"
DB01225,Enoxaparin,['B01AB05'],"[['B01AB', 'B01A', 'B01', 'B']]"
DB01226,Mivacurium,['M03AC10'],"[['M03AC', 'M03A', 'M03', 'M']]"
DB01227,Levacetylmethadol,['N07BC03'],"[['N07BC', 'N07B', 'N07', 'N']]"
DB01228,Encainide,['C01BC08'],"[['C01BC', 'C01B', 'C01', 'C']]"
DB01229,Paclitaxel,"['L01CD01', 'L01CD51']","[['L01CD', 'L01C', 'L01', 'L'], ['L01CD', 'L01C', 'L01', 'L']]"
DB01233,Metoclopramide,['A03FA01'],"[['A03FA', 'A03F', 'A03', 'A']]"
DB01234,Dexamethasone,"['R01AD53', 'D07XB05', 'R01AD03', 'D10AA03', 'S01CB01', 'S02CA06', 'S03CA01', 'C05AA09', 'S01CA01', 'D07CB04', 'H02AB02', 'S01BA01', 'A01AC02', 'S03BA01', 'D07AB19', 'S02BA06']","[['R01AD', 'R01A', 'R01', 'R'], ['D07XB', 'D07X', 'D07', 'D'], ['R01AD', 'R01A', 'R01', 'R'], ['D10AA', 'D10A', 'D10', 'D'], ['S01CB', 'S01C', 'S01', 'S'], ['S02CA', 'S02C', 'S02', 'S'], ['S03CA', 'S03C', 'S03', 'S'], ['C05AA', 'C05A', 'C05', 'C'], ['S01CA', 'S01C', 'S01', 'S'], ['D07CB', 'D07C', 'D07', 'D'], ['H02AB', 'H02A', 'H02', 'H'], ['S01BA', 'S01B', 'S01', 'S'], ['A01AC', 'A01A', 'A01', 'A'], ['S03BA', 'S03B', 'S03', 'S'], ['D07AB', 'D07A', 'D07', 'D'], ['S02BA', 'S02B', 'S02', 'S']]"
DB01235,Levodopa,"['N04BA03', 'N04BA01', 'N04BA02']","[['N04BA', 'N04B', 'N04', 'N'], ['N04BA', 'N04B', 'N04', 'N'], ['N04BA', 'N04B', 'N04', 'N']]"
DB01236,Sevoflurane,['N01AB08'],"[['N01AB', 'N01A', 'N01', 'N']]"
DB01237,Bromodiphenhydramine,['R06AA01'],"[['R06AA', 'R06A', 'R06', 'R']]"
DB01238,Aripiprazole,['N05AX12'],"[['N05AX', 'N05A', 'N05', 'N']]"
DB01239,Chlorprothixene,['N05AF03'],"[['N05AF', 'N05A', 'N05', 'N']]"
DB01240,Epoprostenol,['B01AC09'],"[['B01AC', 'B01A', 'B01', 'B']]"
DB01241,Gemfibrozil,['C10AB04'],"[['C10AB', 'C10A', 'C10', 'C']]"
DB01242,Clomipramine,['N06AA04'],"[['N06AA', 'N06A', 'N06', 'N']]"
DB01244,Bepridil,['C08EA02'],"[['C08EA', 'C08E', 'C08', 'C']]"
DB01246,Alimemazine,['R06AD01'],"[['R06AD', 'R06A', 'R06', 'R']]"
DB01247,Isocarboxazid,['N06AF01'],"[['N06AF', 'N06A', 'N06', 'N']]"
DB01248,Docetaxel,['L01CD02'],"[['L01CD', 'L01C', 'L01', 'L']]"
DB01250,Olsalazine,['A07EC03'],"[['A07EC', 'A07E', 'A07', 'A']]"
DB01251,Gliquidone,['A10BB08'],"[['A10BB', 'A10B', 'A10', 'A']]"
DB01252,Mitiglinide,['A10BX08'],"[['A10BX', 'A10B', 'A10', 'A']]"
DB01253,Ergometrine,['G02AB03'],"[['G02AB', 'G02A', 'G02', 'G']]"
DB01254,Dasatinib,['L01EA02'],"[['L01EA', 'L01E', 'L01', 'L']]"
DB01255,Lisdexamfetamine,['N06BA12'],"[['N06BA', 'N06B', 'N06', 'N']]"
DB01257,Eculizumab,['L04AA25'],"[['L04AA', 'L04A', 'L04', 'L']]"
DB01259,Lapatinib,['L01EH01'],"[['L01EH', 'L01E', 'L01', 'L']]"
DB01260,Desonide,"['S01BA11', 'D07BB02', 'D07AB08']","[['S01BA', 'S01B', 'S01', 'S'], ['D07BB', 'D07B', 'D07', 'D'], ['D07AB', 'D07A', 'D07', 'D']]"
DB01261,Sitagliptin,"['A10BH51', 'A10BD24', 'A10BD07', 'A10BH01', 'A10BD12']","[['A10BH', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A'], ['A10BH', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A']]"
DB01262,Decitabine,['L01BC08'],"[['L01BC', 'L01B', 'L01', 'L']]"
DB01265,Telbivudine,['J05AF11'],"[['J05AF', 'J05A', 'J05', 'J']]"
DB01267,Paliperidone,['N05AX13'],"[['N05AX', 'N05A', 'N05', 'N']]"
DB01268,Sunitinib,['L01EX01'],"[['L01EX', 'L01E', 'L01', 'L']]"
DB01269,Panitumumab,['L01FE02'],"[['L01FE', 'L01F', 'L01', 'L']]"
DB01270,Ranibizumab,['S01LA04'],"[['S01LA', 'S01L', 'S01', 'S']]"
DB01271,Idursulfase,['A16AB09'],"[['A16AB', 'A16A', 'A16', 'A']]"
DB01272,Alglucosidase alfa,['A16AB07'],"[['A16AB', 'A16A', 'A16', 'A']]"
DB01273,Varenicline,"['S01XA28', 'N07BA03']","[['S01XA', 'S01X', 'S01', 'S'], ['N07BA', 'N07B', 'N07', 'N']]"
DB01275,Hydralazine,"['C02DB02', 'C02LG02']","[['C02DB', 'C02D', 'C02', 'C'], ['C02LG', 'C02L', 'C02', 'C']]"
DB01276,Exenatide,['A10BJ01'],"[['A10BJ', 'A10B', 'A10', 'A']]"
DB01277,Mecasermin,['H01AC03'],"[['H01AC', 'H01A', 'H01', 'H']]"
DB01278,Pramlintide,['A10BX05'],"[['A10BX', 'A10B', 'A10', 'A']]"
DB01279,Galsulfase,['A16AB08'],"[['A16AB', 'A16A', 'A16', 'A']]"
DB01280,Nelarabine,['L01BB07'],"[['L01BB', 'L01B', 'L01', 'L']]"
DB01281,Abatacept,['L04AA24'],"[['L04AA', 'L04A', 'L04', 'L']]"
DB01282,Carbetocin,['H01BB03'],"[['H01BB', 'H01B', 'H01', 'H']]"
DB01283,Lumiracoxib,['M01AH06'],"[['M01AH', 'M01A', 'M01', 'M']]"
DB01284,Tetracosactide,['H01AA02'],"[['H01AA', 'H01A', 'H01', 'H']]"
DB01285,Corticotropin,['H01AA01'],"[['H01AA', 'H01A', 'H01', 'H']]"
