dg_id,dg_name,dg_atc_codes,dg_atc_levels,kegg_cid
DB00709,Lamivudine,"['J05AR27', 'J05AR02', 'J05AR25', 'J05AR11', 'J05AR07', 'J05AR01', 'J05AR13', 'J05AR12', 'J05AR24', 'J05AR04', 'J05AR16', 'J05AR05', 'J05AF05']","[['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AF', 'J05A', 'J05', 'J']]",C07065
DB00711,Diethylcarbamazine,['P02CB02'],"[['P02CB', 'P02C', 'P02', 'P']]",C07968
DB00713,Oxacillin,"['J01CR50', 'J01CF04']","[['J01CR', 'J01C', 'J01', 'J'], ['J01CF', 'J01C', 'J01', 'J']]",C07334
DB00715,Paroxetine,['N06AB05'],"[['N06AB', 'N06A', 'N06', 'N']]",C07415
DB00716,Nedocromil,"['R03BC03', 'R01AC07', 'S01GX04']","[['R03BC', 'R03B', 'R03', 'R'], ['R01AC', 'R01A', 'R01', 'R'], ['S01GX', 'S01G', 'S01', 'S']]",C07255
DB00717,Norethisterone,"['H01CC53', 'H01CC54', 'G03AA05', 'G03DC02', 'G03AB04', 'G03AC01', 'G03FA01', 'G03FB05']","[['H01CC', 'H01C', 'H01', 'H'], ['H01CC', 'H01C', 'H01', 'H'], ['G03AA', 'G03A', 'G03', 'G'], ['G03DC', 'G03D', 'G03', 'G'], ['G03AB', 'G03A', 'G03', 'G'], ['G03AC', 'G03A', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G']]",C05028
DB00719,Azatadine,['R06AX09'],"[['R06AX', 'R06A', 'R06', 'R']]",C07774
DB00721,Procaine,"['N01BA52', 'C05AD05', 'S01HA05', 'N01BA02']","[['N01BA', 'N01B', 'N01', 'N'], ['C05AD', 'C05A', 'C05', 'C'], ['S01HA', 'S01H', 'S01', 'S'], ['N01BA', 'N01B', 'N01', 'N']]",C07375
DB00723,Methoxamine,['C01CA10'],"[['C01CA', 'C01C', 'C01', 'C']]",C07513
DB00727,Nitroglycerin,"['C01DA02', 'C01DA52', 'C05AE01']","[['C01DA', 'C01D', 'C01', 'C'], ['C01DA', 'C01D', 'C01', 'C'], ['C05AE', 'C05A', 'C05', 'C']]",C07455
DB00728,Rocuronium,['M03AC09'],"[['M03AC', 'M03A', 'M03', 'M']]",C07556
DB00731,Nateglinide,['A10BX03'],"[['A10BX', 'A10B', 'A10', 'A']]",C12508
DB00733,Pralidoxime,['V03AB04'],"[['V03AB', 'V03A', 'V03', 'V']]",C07400
DB00735,Naftifine,['D01AE22'],"[['D01AE', 'D01A', 'D01', 'D']]",C08071
DB00737,Meclizine,"['R06AE55', 'R06AE05']","[['R06AE', 'R06A', 'R06', 'R'], ['R06AE', 'R06A', 'R06', 'R']]",C07116
DB00738,Pentamidine,['P01CX01'],"[['P01CX', 'P01C', 'P01', 'P']]",C07420
DB00740,Riluzole,['N07XX02'],"[['N07XX', 'N07X', 'N07', 'N']]",C07937
DB00741,Hydrocortisone,"['S01CB03', 'A01AC03', 'S01BA02', 'S01CA03', 'D07AA02', 'S01BB01', 'D07XA01', 'D07BA04', 'S02CA03', 'A07EA02', 'S02BA01', 'R01AD60', 'H02AB09', 'D07CA01', 'S03CA04', 'C05AA01']","[['S01CB', 'S01C', 'S01', 'S'], ['A01AC', 'A01A', 'A01', 'A'], ['S01BA', 'S01B', 'S01', 'S'], ['S01CA', 'S01C', 'S01', 'S'], ['D07AA', 'D07A', 'D07', 'D'], ['S01BB', 'S01B', 'S01', 'S'], ['D07XA', 'D07X', 'D07', 'D'], ['D07BA', 'D07B', 'D07', 'D'], ['S02CA', 'S02C', 'S02', 'S'], ['A07EA', 'A07E', 'A07', 'A'], ['S02BA', 'S02B', 'S02', 'S'], ['R01AD', 'R01A', 'R01', 'R'], ['H02AB', 'H02A', 'H02', 'H'], ['D07CA', 'D07C', 'D07', 'D'], ['S03CA', 'S03C', 'S03', 'S'], ['C05AA', 'C05A', 'C05', 'C']]",C00735
DB00746,Deferoxamine,['V03AC01'],"[['V03AC', 'V03A', 'V03', 'V']]",C06940
DB00747,Scopolamine,"['N05CM05', 'S01FA02', 'A04AD01', 'A04AD51']","[['N05CM', 'N05C', 'N05', 'N'], ['S01FA', 'S01F', 'S01', 'S'], ['A04AD', 'A04A', 'A04', 'A'], ['A04AD', 'A04A', 'A04', 'A']]",C01851
DB00748,Carbinoxamine,['R06AA08'],"[['R06AA', 'R06A', 'R06', 'R']]",C06871
DB00749,Etodolac,['M01AB08'],"[['M01AB', 'M01A', 'M01', 'M']]",C06991
DB00750,Prilocaine,"['N01BB54', 'N01BB04']","[['N01BB', 'N01B', 'N01', 'N'], ['N01BB', 'N01B', 'N01', 'N']]",C07531
DB00752,Tranylcypromine,['N06AF04'],"[['N06AF', 'N06A', 'N06', 'N']]",C07155
DB00753,Isoflurane,['N01AB06'],"[['N01AB', 'N01A', 'N01', 'N']]",C07518
DB00754,Ethotoin,['N03AB01'],"[['N03AB', 'N03A', 'N03', 'N']]",C07839
DB00755,Tretinoin,"['L01XF01', 'D10AD51', 'D10AD01']","[['L01XF', 'L01X', 'L01', 'L'], ['D10AD', 'D10A', 'D10', 'D'], ['D10AD', 'D10A', 'D10', 'D']]",C00777
DB00756,Hexachlorophene,['D08AE01'],"[['D08AE', 'D08A', 'D08', 'D']]",C08039
DB00757,Dolasetron,['A04AA04'],"[['A04AA', 'A04A', 'A04', 'A']]",C07866
DB00759,Tetracycline,"['S02AA08', 'A02BD02', 'A01AB13', 'J01AA07', 'S01AA09', 'J01AA20', 'J01RA08', 'S03AA02', 'D06AA04', 'A02BD08']","[['S02AA', 'S02A', 'S02', 'S'], ['A02BD', 'A02B', 'A02', 'A'], ['A01AB', 'A01A', 'A01', 'A'], ['J01AA', 'J01A', 'J01', 'J'], ['S01AA', 'S01A', 'S01', 'S'], ['J01AA', 'J01A', 'J01', 'J'], ['J01RA', 'J01R', 'J01', 'J'], ['S03AA', 'S03A', 'S03', 'S'], ['D06AA', 'D06A', 'D06', 'D'], ['A02BD', 'A02B', 'A02', 'A']]",C06570
DB00762,Irinotecan,['L01CE02'],"[['L01CE', 'L01C', 'L01', 'L']]",C16641
DB00763,Methimazole,"['H03BB52', 'H03BB02']","[['H03BB', 'H03B', 'H03', 'H'], ['H03BB', 'H03B', 'H03', 'H']]",C07190
DB00764,Mometasone,"['R03AL12', 'R01AD59', 'R03AK14']","[['R03AL', 'R03A', 'R03', 'R'], ['R01AD', 'R01A', 'R01', 'R'], ['R03AK', 'R03A', 'R03', 'R']]",C07816
DB00765,Metyrosine,['C02KB01'],"[['C02KB', 'C02K', 'C02', 'C']]",C07921
DB00768,Olopatadine,"['S01GX09', 'R01AC08']","[['S01GX', 'S01G', 'S01', 'S'], ['R01AC', 'R01A', 'R01', 'R']]",C07789
DB00770,Alprostadil,"['C01EA01', 'G04BE01']","[['C01EA', 'C01E', 'C01', 'C'], ['G04BE', 'G04B', 'G04', 'G']]",C04741
DB00771,Clidinium,['A03CA02'],"[['A03CA', 'A03C', 'A03', 'A']]",C07853
DB00772,Malathion,['P03AX03'],"[['P03AX', 'P03A', 'P03', 'P']]",C07497
DB00773,Etoposide,['L01CB01'],"[['L01CB', 'L01C', 'L01', 'L']]",C01576
DB00774,Hydroflumethiazide,"['C03AA02', 'G01AE10', 'C03AH02', 'C03AB02']","[['C03AA', 'C03A', 'C03', 'C'], ['G01AE', 'G01A', 'G01', 'G'], ['C03AH', 'C03A', 'C03', 'C'], ['C03AB', 'C03A', 'C03', 'C']]",C07763
DB00775,Tirofiban,['B01AC17'],"[['B01AC', 'B01A', 'B01', 'B']]",C07965
DB00776,Oxcarbazepine,['N03AF02'],"[['N03AF', 'N03A', 'N03', 'N']]",C07492
DB00777,Propiomazine,['N05CM06'],"[['N05CM', 'N05C', 'N05', 'N']]",C07405
DB00778,Roxithromycin,['J01FA06'],"[['J01FA', 'J01F', 'J01', 'J']]",C13173
DB00779,Nalidixic acid,['J01MB02'],"[['J01MB', 'J01M', 'J01', 'J']]",C05079
DB00780,Phenelzine,['N06AF03'],"[['N06AF', 'N06A', 'N06', 'N']]",C07430
DB00782,Propantheline,"['A03AB05', 'A03CA34']","[['A03AB', 'A03A', 'A03', 'A'], ['A03CA', 'A03C', 'A03', 'A']]",C07506
DB00783,Estradiol,"['G03FA16', 'G03FA06', 'G03FA09', 'G03FA14', 'G03CA53', 'G03FA12', 'G03FB12', 'G03FB03', 'G03FA15', 'G03FB02', 'G03FB10', 'G03FA10', 'G03EA01', 'G03FA04', 'G03FB11', 'G03FA01', 'G03FB09', 'G03FB08', 'G03EA03', 'G03AA14', 'G03AB08', 'G03FB01', 'G03FA03', 'H01CC54', 'G03FA08', 'G03FB06', 'G03EA02', 'G03AA17', 'G03FA11', 'G03FB07', 'G03FA17', 'G03FA07', 'G03FA02', 'G03HB01', 'H01CC53', 'G03FB04', 'G03FA13', 'G02BB01', 'G03CA03', 'G03FA05', 'G03FB05']","[['G03FA', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03CA', 'G03C', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03EA', 'G03E', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03EA', 'G03E', 'G03', 'G'], ['G03AA', 'G03A', 'G03', 'G'], ['G03AB', 'G03A', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['H01CC', 'H01C', 'H01', 'H'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03EA', 'G03E', 'G03', 'G'], ['G03AA', 'G03A', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03HB', 'G03H', 'G03', 'G'], ['H01CC', 'H01C', 'H01', 'H'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G02BB', 'G02B', 'G02', 'G'], ['G03CA', 'G03C', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G']]",C00951
DB00784,Mefenamic acid,['M01AG01'],"[['M01AG', 'M01A', 'M01', 'M']]",C02168
DB00788,Naproxen,"['G02CC02', 'M02AA12', 'M01AE56', 'M01AE52', 'M01AE02']","[['G02CC', 'G02C', 'G02', 'G'], ['M02AA', 'M02A', 'M02', 'M'], ['M01AE', 'M01A', 'M01', 'M'], ['M01AE', 'M01A', 'M01', 'M'], ['M01AE', 'M01A', 'M01', 'M']]",C01517
DB00790,Perindopril,"['C09BX01', 'C09BA04', 'C10BX11', 'C10BX13', 'C09AA04', 'C09BX02', 'C10BX12', 'C09BB04', 'C10BX15', 'C10BX14', 'C09BX04']","[['C09BX', 'C09B', 'C09', 'C'], ['C09BA', 'C09B', 'C09', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C09AA', 'C09A', 'C09', 'C'], ['C09BX', 'C09B', 'C09', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C09BB', 'C09B', 'C09', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C09BX', 'C09B', 'C09', 'C']]",C07706
DB00791,Uracil mustard,['L01AD08'],"[['L01AD', 'L01A', 'L01', 'L']]",C11686
DB00792,Tripelennamine,"['R06AC04', 'D04AA04']","[['R06AC', 'R06A', 'R06', 'R'], ['D04AA', 'D04A', 'D04', 'D']]",C07180
DB00794,Primidone,"['N05CB01', 'N03AA03']","[['N05CB', 'N05C', 'N05', 'N'], ['N03AA', 'N03A', 'N03', 'N']]",C07371
DB00795,Sulfasalazine,"['G01AE10', 'A07EC01']","[['G01AE', 'G01A', 'G01', 'G'], ['A07EC', 'A07E', 'A07', 'A']]",C07316
DB00797,Tolazoline,"['M02AX02', 'C04AB02']","[['M02AX', 'M02A', 'M02', 'M'], ['C04AB', 'C04A', 'C04', 'C']]",C07147
DB00799,Tazarotene,"['D05AX55', 'D05AX05']","[['D05AX', 'D05A', 'D05', 'D'], ['D05AX', 'D05A', 'D05', 'D']]",C12531
DB00800,Fenoldopam,['C01CA19'],"[['C01CA', 'C01C', 'C01', 'C']]",C07693
DB00802,Alfentanil,['N01AH02'],"[['N01AH', 'N01A', 'N01', 'N']]",C08005
DB00804,Dicyclomine,['A03AA07'],"[['A03AA', 'A03A', 'A03', 'A']]",C06951
DB00806,Pentoxifylline,"['C04AD03', 'R03DA20']","[['C04AD', 'C04A', 'C04', 'C'], ['R03DA', 'R03D', 'R03', 'R']]",C07424
DB00807,Proparacaine,['S01HA04'],"[['S01HA', 'S01H', 'S01', 'S']]",C07383
DB00810,Biperiden,['N04AA02'],"[['N04AA', 'N04A', 'N04', 'N']]",C07941
DB00812,Phenylbutazone,"['M01BA01', 'M01AA01', 'M02AA01']","[['M01BA', 'M01B', 'M01', 'M'], ['M01AA', 'M01A', 'M01', 'M'], ['M02AA', 'M02A', 'M02', 'M']]",C07440
DB00814,Meloxicam,"['N01BB59', 'M01AC56', 'M01AC06']","[['N01BB', 'N01B', 'N01', 'N'], ['M01AC', 'M01A', 'M01', 'M'], ['M01AC', 'M01A', 'M01', 'M']]",C08169
DB00816,Orciprenaline,"['R03AB03', 'R03CB03', 'R03CB53']","[['R03AB', 'R03A', 'R03', 'R'], ['R03CB', 'R03C', 'R03', 'R'], ['R03CB', 'R03C', 'R03', 'R']]",C07144
DB00818,Propofol,['N01AX10'],"[['N01AX', 'N01A', 'N01', 'N']]",C07523
DB00819,Acetazolamide,"['G01AE10', 'S01EC01']","[['G01AE', 'G01A', 'G01', 'G'], ['S01EC', 'S01E', 'S01', 'S']]",C06805
DB00822,Disulfiram,"['P03AA04', 'P03AA54', 'N07BB01']","[['P03AA', 'P03A', 'P03', 'P'], ['P03AA', 'P03A', 'P03', 'P'], ['N07BB', 'N07B', 'N07', 'N']]",C01692
DB00827,Cinoxacin,['J01MB06'],"[['J01MB', 'J01M', 'J01', 'J']]",C08052
DB00829,Diazepam,['N05BA01'],"[['N05BA', 'N05B', 'N05', 'N']]",C06948
DB00831,Trifluoperazine,['N05AB06'],"[['N05AB', 'N05A', 'N05', 'N']]",C07168
DB00834,Mifepristone,"['G03XB01', 'G03XB51']","[['G03XB', 'G03X', 'G03', 'G'], ['G03XB', 'G03X', 'G03', 'G']]",C07652
DB00835,Brompheniramine,"['R06AB51', 'R06AB01']","[['R06AB', 'R06A', 'R06', 'R'], ['R06AB', 'R06A', 'R06', 'R']]",C06857
DB00836,Loperamide,"['A07DA53', 'A07DA03']","[['A07DA', 'A07D', 'A07', 'A'], ['A07DA', 'A07D', 'A07', 'A']]",C07080
DB00841,Dobutamine,['C01CA07'],"[['C01CA', 'C01C', 'C01', 'C']]",C06967
DB00842,Oxazepam,['N05BA04'],"[['N05BA', 'N05B', 'N05', 'N']]",C07359
DB00844,Nalbuphine,['N02AF02'],"[['N02AF', 'N02A', 'N02', 'N']]",C07251
DB00845,Clofazimine,"['J04BA01', 'J04BA51']","[['J04BA', 'J04B', 'J04', 'J'], ['J04BA', 'J04B', 'J04', 'J']]",C06915
DB00847,Cysteamine,"['A16AA04', 'S01XA21']","[['A16AA', 'A16A', 'A16', 'A'], ['S01XA', 'S01X', 'S01', 'S']]",C01678
DB00848,Levamisole,['P02CE01'],"[['P02CE', 'P02C', 'P02', 'P']]",C07070
DB00849,Methylphenobarbital,"['N03AA01', 'N05CB01']","[['N03AA', 'N03A', 'N03', 'N'], ['N05CB', 'N05C', 'N05', 'N']]",C07829
DB00850,Perphenazine,['N05AB03'],"[['N05AB', 'N05A', 'N05', 'N']]",C07427
DB00851,Dacarbazine,['L01AX04'],"[['L01AX', 'L01A', 'L01', 'L']]",C06936
DB00852,Pseudoephedrine,"['R01BA52', 'R01BA02']","[['R01BA', 'R01B', 'R01', 'R'], ['R01BA', 'R01B', 'R01', 'R']]",C02765
DB00855,Aminolevulinic acid,['L01XD04'],"[['L01XD', 'L01X', 'L01', 'L']]",C00430
DB00857,Terbinafine,"['D01AE15', 'D01BA02']","[['D01AE', 'D01A', 'D01', 'D'], ['D01BA', 'D01B', 'D01', 'D']]",C08079
DB00859,Penicillamine,['M01CC01'],"[['M01CC', 'M01C', 'M01', 'M']]",C07418
DB00860,Prednisolone,"['D07AA03', 'S01CA02', 'D07XA02', 'A01AC54', 'R01AD02', 'S01BB02', 'S01CB02', 'R01AD52', 'V03AB05', 'S03BA02', 'D07BA01', 'D07CA03', 'S01BA04', 'S02BA03', 'A01AC04', 'A07EA01', 'H02AB06', 'S02CA01', 'C05AA04', 'S03CA02']","[['D07AA', 'D07A', 'D07', 'D'], ['S01CA', 'S01C', 'S01', 'S'], ['D07XA', 'D07X', 'D07', 'D'], ['A01AC', 'A01A', 'A01', 'A'], ['R01AD', 'R01A', 'R01', 'R'], ['S01BB', 'S01B', 'S01', 'S'], ['S01CB', 'S01C', 'S01', 'S'], ['R01AD', 'R01A', 'R01', 'R'], ['V03AB', 'V03A', 'V03', 'V'], ['S03BA', 'S03B', 'S03', 'S'], ['D07BA', 'D07B', 'D07', 'D'], ['D07CA', 'D07C', 'D07', 'D'], ['S01BA', 'S01B', 'S01', 'S'], ['S02BA', 'S02B', 'S02', 'S'], ['A01AC', 'A01A', 'A01', 'A'], ['A07EA', 'A07E', 'A07', 'A'], ['H02AB', 'H02A', 'H02', 'H'], ['S02CA', 'S02C', 'S02', 'S'], ['C05AA', 'C05A', 'C05', 'C'], ['S03CA', 'S03C', 'S03', 'S']]",C07369
DB00861,Diflunisal,['N02BA11'],"[['N02BA', 'N02B', 'N02', 'N']]",C01691
DB00864,Tacrolimus,"['D11AH01', 'L04AD02']","[['D11AH', 'D11A', 'D11', 'D'], ['L04AD', 'L04A', 'L04', 'L']]",C01375
DB00867,Ritodrine,['G02CA01'],"[['G02CA', 'G02C', 'G02', 'G']]",C07239
DB00869,Dorzolamide,"['G01AE10', 'S01EC03']","[['G01AE', 'G01A', 'G01', 'G'], ['S01EC', 'S01E', 'S01', 'S']]",C06969
DB00870,Suprofen,['M01AE07'],"[['M01AE', 'M01A', 'M01', 'M']]",C07320
DB00871,Terbutaline,"['R03CC53', 'R03CC03', 'R03AC03']","[['R03CC', 'R03C', 'R03', 'R'], ['R03CC', 'R03C', 'R03', 'R'], ['R03AC', 'R03A', 'R03', 'R']]",C07129
DB00875,Flupentixol,['N05AF01'],"[['N05AF', 'N05A', 'N05', 'N']]",C11191
DB00876,Eprosartan,"['C09DA02', 'C09CA02']","[['C09DA', 'C09D', 'C09', 'C'], ['C09CA', 'C09C', 'C09', 'C']]",C07467
DB00877,Sirolimus,"['L01EG04', 'S01XA23', 'L04AA10']","[['L01EG', 'L01E', 'L01', 'L'], ['S01XA', 'S01X', 'S01', 'S'], ['L04AA', 'L04A', 'L04', 'L']]",C07909
DB00880,Chlorothiazide,"['C03AB04', 'G01AE10', 'C03AA04', 'C03AH01']","[['C03AB', 'C03A', 'C03', 'C'], ['G01AE', 'G01A', 'G01', 'G'], ['C03AA', 'C03A', 'C03', 'C'], ['C03AH', 'C03A', 'C03', 'C']]",C07461
DB00881,Quinapril,"['C09AA06', 'C09BA06']","[['C09AA', 'C09A', 'C09', 'C'], ['C09BA', 'C09B', 'C09', 'C']]",C07398
DB00882,Clomifene,['G03GB02'],"[['G03GB', 'G03G', 'G03', 'G']]",C06917
DB00883,Isosorbide dinitrate,"['C01DA08', 'C01DA58', 'C05AE02']","[['C01DA', 'C01D', 'C01', 'C'], ['C01DA', 'C01D', 'C01', 'C'], ['C05AE', 'C05A', 'C05', 'C']]",C07456
DB00884,Risedronic acid,"['M05BB07', 'M05BB02', 'M05BB04', 'M05BA07']","[['M05BB', 'M05B', 'M05', 'M'], ['M05BB', 'M05B', 'M05', 'M'], ['M05BB', 'M05B', 'M05', 'M'], ['M05BA', 'M05B', 'M05', 'M']]",C08233
DB00888,Mechlorethamine,['L01AA05'],"[['L01AA', 'L01A', 'L01', 'L']]",C07115
DB00889,Granisetron,['A04AA02'],"[['A04AA', 'A04A', 'A04', 'A']]",C07023
DB00890,Dienestrol,"['G03CB01', 'G03CC02']","[['G03CB', 'G03C', 'G03', 'G'], ['G03CC', 'G03C', 'G03', 'G']]",C08090
DB00898,Ethanol,"['V03AB16', 'V03AZ01', 'D08AX08']","[['V03AB', 'V03A', 'V03', 'V'], ['V03AZ', 'V03A', 'V03', 'V'], ['D08AX', 'D08A', 'D08', 'D']]",C00469
DB00899,Remifentanil,['N01AH06'],"[['N01AH', 'N01A', 'N01', 'N']]",C08021
DB00900,Didanosine,['J05AF02'],"[['J05AF', 'J05A', 'J05', 'J']]",C06953
DB00901,Bitolterol,['R03AC17'],"[['R03AC', 'R03A', 'R03', 'R']]",C06853
DB00902,Methdilazine,['R06AD04'],"[['R06AD', 'R06A', 'R06', 'R']]",C07175
DB00904,Ondansetron,['A04AA01'],"[['A04AA', 'A04A', 'A04', 'A']]",C07325
DB00906,Tiagabine,['N03AG06'],"[['N03AG', 'N03A', 'N03', 'N']]",C07503
DB00907,Cocaine,"['S01HA01', 'S02DA02', 'N01BC01', 'R02AD03']","[['S01HA', 'S01H', 'S01', 'S'], ['S02DA', 'S02D', 'S02', 'S'], ['N01BC', 'N01B', 'N01', 'N'], ['R02AD', 'R02A', 'R02', 'R']]",C01416
DB00908,Quinidine,"['C01BA01', 'C01BA51', 'C01BA71']","[['C01BA', 'C01B', 'C01', 'C'], ['C01BA', 'C01B', 'C01', 'C'], ['C01BA', 'C01B', 'C01', 'C']]",C06527
DB00909,Zonisamide,"['N03AX15', 'G01AE10']","[['N03AX', 'N03A', 'N03', 'N'], ['G01AE', 'G01A', 'G01', 'G']]",C07504
DB00910,Paricalcitol,['H05BX02'],"[['H05BX', 'H05B', 'H05', 'H']]",C08127
DB00912,Repaglinide,"['A10BD14', 'A10BX02']","[['A10BD', 'A10B', 'A10', 'A'], ['A10BX', 'A10B', 'A10', 'A']]",C07670
DB00914,Phenformin,"['A10BA01', 'A10BD01']","[['A10BA', 'A10B', 'A10', 'A'], ['A10BD', 'A10B', 'A10', 'A']]",C07673
DB00915,Amantadine,['N04BB01'],"[['N04BB', 'N04B', 'N04', 'N']]",C06818
DB00917,Dinoprostone,['G02AD02'],"[['G02AD', 'G02A', 'G02', 'G']]",C00584
DB00921,Buprenorphine,"['N07BC01', 'N07BC51', 'N02AE01']","[['N07BC', 'N07B', 'N07', 'N'], ['N07BC', 'N07B', 'N07', 'N'], ['N02AE', 'N02A', 'N02', 'N']]",C08007
DB00924,Cyclobenzaprine,['M03BX08'],"[['M03BX', 'M03B', 'M03', 'M']]",C06931
DB00925,Phenoxybenzamine,['C04AX02'],"[['C04AX', 'C04A', 'C04', 'C']]",C07435
DB00928,Azacitidine,['L01BC07'],"[['L01BC', 'L01B', 'L01', 'L']]",C11262
DB00933,Mesoridazine,['N05AC03'],"[['N05AC', 'N05A', 'N05', 'N']]",C07143
DB00934,Maprotiline,['N06AA21'],"[['N06AA', 'N06A', 'N06', 'N']]",C07107
DB00935,Oxymetazoline,"['S01GA04', 'D11AX27', 'R01AB07', 'R01AA05']","[['S01GA', 'S01G', 'S01', 'S'], ['D11AX', 'D11A', 'D11', 'D'], ['R01AB', 'R01A', 'R01', 'R'], ['R01AA', 'R01A', 'R01', 'R']]",C07363
DB00936,Salicylic acid,"['D01AE12', 'N02BA04', 'N02BA12', 'S01BC08']","[['D01AE', 'D01A', 'D01', 'D'], ['N02BA', 'N02B', 'N02', 'N'], ['N02BA', 'N02B', 'N02', 'N'], ['S01BC', 'S01B', 'S01', 'S']]",C00805
DB00937,Diethylpropion,['A08AA03'],"[['A08AA', 'A08A', 'A08', 'A']]",C06954
DB00938,Salmeterol,"['R03AK06', 'R03AK12', 'R03AC12']","[['R03AK', 'R03A', 'R03', 'R'], ['R03AK', 'R03A', 'R03', 'R'], ['R03AC', 'R03A', 'R03', 'R']]",C07241
DB00939,Meclofenamic acid,"['M01AG04', 'M02AA18']","[['M01AG', 'M01A', 'M01', 'M'], ['M02AA', 'M02A', 'M02', 'M']]",C07117
DB00940,Methantheline,['A03AB07'],"[['A03AB', 'A03A', 'A03', 'A']]",C07849
DB00945,Acetylsalicylic acid,"['B01AC06', 'C07FX04', 'C10BX04', 'M01BA03', 'N02BA71', 'C10BX02', 'B01AC56', 'N02AJ07', 'N02AJ02', 'N02BA01', 'C10BX05', 'N02BA51', 'A01AD05', 'C10BX01', 'C07FX03', 'N02AJ18', 'C10BX12', 'C10BX08', 'C10BX06', 'C07FX02']","[['B01AC', 'B01A', 'B01', 'B'], ['C07FX', 'C07F', 'C07', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['M01BA', 'M01B', 'M01', 'M'], ['N02BA', 'N02B', 'N02', 'N'], ['C10BX', 'C10B', 'C10', 'C'], ['B01AC', 'B01A', 'B01', 'B'], ['N02AJ', 'N02A', 'N02', 'N'], ['N02AJ', 'N02A', 'N02', 'N'], ['N02BA', 'N02B', 'N02', 'N'], ['C10BX', 'C10B', 'C10', 'C'], ['N02BA', 'N02B', 'N02', 'N'], ['A01AD', 'A01A', 'A01', 'A'], ['C10BX', 'C10B', 'C10', 'C'], ['C07FX', 'C07F', 'C07', 'C'], ['N02AJ', 'N02A', 'N02', 'N'], ['C10BX', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C07FX', 'C07F', 'C07', 'C']]",C01405
DB00949,Felbamate,['N03AX10'],"[['N03AX', 'N03A', 'N03', 'N']]",C07501
DB00950,Fexofenadine,['R06AX26'],"[['R06AX', 'R06A', 'R06', 'R']]",C06999
DB00951,Isoniazid,"['J04AM04', 'J04AM01', 'J04AM03', 'J04AM02', 'J04AC01', 'J04AM06', 'J04AM05', 'J04AM07', 'J04AM08', 'J04AC51']","[['J04AM', 'J04A', 'J04', 'J'], ['J04AM', 'J04A', 'J04', 'J'], ['J04AM', 'J04A', 'J04', 'J'], ['J04AM', 'J04A', 'J04', 'J'], ['J04AC', 'J04A', 'J04', 'J'], ['J04AM', 'J04A', 'J04', 'J'], ['J04AM', 'J04A', 'J04', 'J'], ['J04AM', 'J04A', 'J04', 'J'], ['J04AM', 'J04A', 'J04', 'J'], ['J04AC', 'J04A', 'J04', 'J']]",C07054
DB00952,Naratriptan,['N02CC02'],"[['N02CC', 'N02C', 'N02', 'N']]",C07792
